figure,panel,measure,condition,n,mean,lower,upper
fig1,b,Action: predicted-donor comparison,Self $A$,22,0.0,0.0,0.0
fig1,b,Action: predicted-donor comparison,Natural $C$,22,0.5589623272603953,0.4641031944144859,0.6490407842662443
fig1,b,Action: predicted-donor comparison,Donor $B$,22,0.9922824089014732,0.971407815882041,1.010834999076039
fig1,c,Action: executed-donor comparison,Executed self $A$,22,-0.032534035413922885,-0.06287956402693767,-0.0016959141458501913
fig1,c,Action: executed-donor comparison,Gaussian $G$,22,0.008877332029595725,-0.018302967430363266,0.03532795912952624
fig1,c,Action: executed-donor comparison,Natural $C$ (predicted),22,0.5589623272603953,0.4630966459068079,0.6490394476931886
fig1,c,Action: executed-donor comparison,Executed donor $B$,22,0.9501940371471314,0.8521470122907395,1.0364465122022668
fig1,d,Endpoint: executed-donor comparison,Executed self $A$,22,0.0057165031253559205,-0.029079835947114805,0.04411041863261834
fig1,d,Endpoint: executed-donor comparison,Gaussian $G$,22,-0.034799828066957875,-0.16220756515345405,0.05758348746788441
fig1,d,Endpoint: executed-donor comparison,Natural $C$ (predicted),22,0.5201605561646759,0.3922820077855854,0.645114443854988
fig1,d,Endpoint: executed-donor comparison,Executed donor $B$,22,1.0082258275032154,0.9754316589203723,1.0395465091739873
fig2,a,Predicted action,donor minus self-future K/V patch,22,0.8771246270775069,0.8424788399337785,0.9097833451582339
fig2,b,Executed action,donor minus self-future K/V patch,22,0.8140768241827558,0.7232396379308451,0.9002798035419476
fig2,c,Executed endpoint,donor minus self-future K/V patch,22,0.8505786124453386,0.7664356777299806,0.9220435459472982
fig3,a,Action projection,O_0R_0,10,-0.009623040756674157,-0.05714566709311789,0.04067821131250323
fig3,a,Action projection,O_0R_1,10,-0.006103907010473842,-0.05571148313448215,0.04115487688149605
fig3,a,Action projection,O_1R_0,10,-0.002221006483147251,-0.05298282561002551,0.04790546395353001
fig3,a,Action projection,O_1R_1,10,-0.001326519657191332,-0.052750153606255,0.05074827941804804
fig3,a,Action projection,Coherent donor,10,0.9779644218208043,0.8132840591147815,1.1145019210322031
fig3,b,Executed endpoint projection,O_0R_0,10,0.046292981281766586,-0.001242027170232916,0.1079086868239802
fig3,b,Executed endpoint projection,O_0R_1,10,0.06262194298330805,0.013161397694002031,0.12063336262009644
fig3,b,Executed endpoint projection,O_1R_0,10,0.05231651630148694,0.002525809460512445,0.12185522634918808
fig3,b,Executed endpoint projection,O_1R_1,10,0.056372559658199636,0.006096498236825233,0.1144849848697575
fig3,b,Executed endpoint projection,Coherent donor,10,0.9755315745163244,0.924845305910696,1.0128047711762274
fig3,c,Action factorial effects,Robot,10,0.002206810286078121,-0.0015575481004592529,0.005991867307007971
fig3,c,Action factorial effects,Object,10,0.006089710813404708,0.0008994799091277542,0.011911702303811939
fig3,c,Action factorial effects,Interaction,10,-0.0026246469202443976,-0.008705600053281944,0.0029854227164063676
fig3,d,Executed endpoint factorial effects,Robot,10,0.010192502529127075,-0.006659406846314821,0.027547560757611115
fig3,d,Executed endpoint factorial effects,Object,10,-0.00011292415269403797,-0.02538203403984396,0.023876724436639348
fig3,d,Executed endpoint factorial effects,Interaction,10,-0.012272918344828746,-0.046381359067272816,0.021848592523986417
fig4,a,Action timing,prefix 0,10,0.4986065641391214,0.3359921407276287,0.6785475434003742
fig4,a,Action timing,prefix 3,10,0.031016140591302373,0.006085685409695645,0.06639802475140011
fig4,a,Action timing,prefix 6,10,0.02716912095705302,-0.010289926208207217,0.09236792185569864
fig4,b,Endpoint timing,prefix 0,10,0.5520082883977641,0.3874685649459302,0.7279196357141922
fig4,b,Endpoint timing,prefix 3,10,0.0036062139184396187,-0.04326830430681792,0.03780852152287795
fig4,b,Endpoint timing,prefix 6,10,0.024913183161051983,0.0049641953339800956,0.043658336364199066
fig4,c,Action modality,All,10,0.4986065641391214,0.3359921407276287,0.6785475434003742
fig4,c,Action modality,Wrist,10,0.43470916631273504,0.28399175053717285,0.6051470417449584
fig4,c,Action modality,Primary,10,0.10061267563950686,0.05749467427056613,0.14386262446156722
fig4,c,Action modality,Proprio.,10,0.0012881014413915948,-0.004445740284208909,0.007999462043445017
fig4,c,Endpoint modality,All,10,0.5520082883977641,0.3874685649459302,0.7279196357141922
fig4,c,Endpoint modality,Wrist,10,0.4804608499616605,0.33267587143489186,0.643864107475885
fig4,c,Endpoint modality,Primary,10,0.1105297932545098,0.06279470705334649,0.15892239242659648
fig4,c,Endpoint modality,Proprio.,10,0.00264813437403144,-0.0033546349825604982,0.009810559607794516
