utc_time	lane	host	study_id	unit_id	command_or_job	status	artifact	control_gate	notes
2026-09-03T22:06:47Z	cosmos-bootstrap	if-overnight-cosmos-servers (68.209.73.251)	overnight_2026_09_03	cosmos-image	PID 6597: docker build cosmos-framework:overnight-2026-09-03	RUNNING	/var/tmp/if_cosmos_image_build.log	n/a	Pinned cosmos-framework d4599e2; no outcome job started
2026-09-03T22:06:47Z	robolab-bootstrap	if-overnight-robolab-clients (68.209.75.174)	overnight_2026_09_03	robolab-image	PID 5703: docker build robolab:overnight-2026-09-03	RUNNING	/var/tmp/if_robolab_image_build.log	n/a	Pinned RoboLab 9db0aaf and OpenPI client aa64205; no outcome job started
2026-09-03T22:08:43Z	cosmos-bootstrap	if-overnight-cosmos-servers (68.209.73.251)	overnight_2026_09_03	cosmos-image	PID 6597: docker build cosmos-framework:overnight-2026-09-03	FAILED	/var/tmp/if_cosmos_image_build.log	n/a	Shared checkout had a modified inconsistent uv.lock; retrying from isolated clean pinned worktree
2026-09-03T22:08:43Z	cosmos-bootstrap	if-overnight-cosmos-servers (68.209.73.251)	overnight_2026_09_03	cosmos-image-clean	PID 10745: docker build cosmos-framework:overnight-2026-09-03	RUNNING	/var/tmp/if_cosmos_image_build_retry.log	n/a	Isolated clean worktree at d4599e2; shared NFS checkout unchanged
2026-09-03T22:14:36Z	cosmos-bootstrap	if-overnight-cosmos-servers (68.209.73.251)	overnight_2026_09_03	cosmos-image-clean	PID 10745: labeled Docker retry	CANCELED	/var/tmp/if_cosmos_image_build_retry.log	n/a	Canceled before completion because labels would change the image digest; no outcome job started
2026-09-03T22:14:36Z	cosmos-bootstrap	if-overnight-cosmos-servers (68.209.73.251)	overnight_2026_09_03	cosmos-image-clean	PID 11707: docker build cosmos-framework:overnight-2026-09-03	RUNNING	/var/tmp/if_cosmos_image_build_clean.log	n/a	Persistent PPID 1; clean d4599e2 worktree; no added image labels
2026-09-03T22:14:36Z	robolab-bootstrap	if-overnight-robolab-clients (68.209.75.174)	overnight_2026_09_03	robolab-image-clean	PID 8118: docker build robolab:overnight-2026-09-03	RUNNING	/var/tmp/if_robolab_image_build_clean.log	n/a	Persistent PPID 1; clean 9db0aaf worktree; client-node image
2026-09-03T22:14:36Z	robolab-bootstrap	if-overnight-cosmos-servers (68.209.73.251)	overnight_2026_09_03	robolab-image-clean	PID 13758: docker build robolab:overnight-2026-09-03	RUNNING	/var/tmp/if_robolab_image_build_clean.log	n/a	Persistent PPID 1; clean 9db0aaf worktree; server-node client lanes on GPUs 2-3
2026-09-03T22:16:45Z	robolab-bootstrap	if-overnight-robolab-clients (68.209.75.174)	overnight_2026_09_03	robolab-image-clean	docker image robolab:overnight-2026-09-03	COMPLETE	sha256:ea2b318e344149b2acdd2a1c8b51f30e549a366166d23e9ee8c6f4975a2b2a67	n/a	Clean 9db0aaf source; IsaacLab base b4d8e96c; rebuilt image ID differs from unavailable prior local image
2026-09-03T22:16:45Z	robolab-pop-client0	if-overnight-robolab-clients (68.209.75.174)	overnight_2026_09_03	client-gpu0	container d4619c0024de (if-robolab-client-0)	READY	container logs if-robolab-client-0	n/a	GPU and RoboLab/cv2 import checks passed; isolated local OV/Kit cache
