metric,estimate,bootstrap_mean,bootstrap_95_ci_low,bootstrap_95_ci_high,n_states,repetitions,seed
retrieval_accuracy_off_diagonal,0.7472222222222221,0.7471957777777777,0.6666666666666665,0.8194444444444444,30,50000,260904
retrieval_accuracy_all,0.8104166666666667,0.8103968333333333,0.75,0.8645833333333334,30,50000,260904
projection,0.6754348472425978,0.6755107403341378,0.6242715454710507,0.7229902123440534,30,50000,260904
distance_reduction,0.4734864541413798,0.4735259956404093,0.4214522355964019,0.5239932038874104,30,50000,260904
cosine_alignment,0.8135733473694766,0.8135873473890302,0.7774197820105418,0.846507909088683,30,50000,260904
orthogonal_residual,0.3884212779676617,0.3884147111904836,0.35910044392763263,0.41814631955849674,30,50000,260904
normalized_final_distance,0.5265135458586202,0.5264740043595907,0.47600679611258956,0.578547764403598,30,50000,260904
gaussian_perturbation_normalized,3.3897003987893,3.39045664062852,3.0174545831669857,3.7749015979485856,30,50000,260904
donor_future_recipient_cache_projection,0.0,0.0,0.0,0.0,30,50000,260904
recipient_future_donor_cache_projection,0.6754348472425978,0.6755107403341378,0.6242715454710507,0.7229902123440534,30,50000,260904
