state_id,cache_hashes_unique,cosine_alignment,distance_reduction,donor_future_recipient_cache_projection,duration_seconds,future_hashes_unique,gaussian_perturbation_normalized,normalized_final_distance,orthogonal_residual,projection,recipient_future_donor_cache_projection,retrieval_accuracy_all,retrieval_accuracy_off_diagonal,self_cache_max_abs_error,self_latent_max_abs_error,task_id
task00_state010,4,0.6820383315422324,0.27765509451795434,0.0,238.34020137786865,4,4.172931046661985,0.7223449054820458,0.4523392227342839,0.4460396755639254,0.4460396755639254,0.6875,0.5833333333333334,0.0,0.0,0
task00_state020,4,0.7719715155033439,0.36063954034706497,0.0,240.15583038330078,4,3.6059324006800773,0.6393604596529351,0.4185010198738342,0.5220536171554151,0.5220536171554151,0.6875,0.5833333333333334,0.0,0.0,0
task00_state030,4,0.859521467515154,0.5045706911239805,0.0,236.48925042152405,4,2.1559186311993623,0.49542930887601955,0.4117501084689365,0.7356763748821417,0.7356763748821417,1.0,1.0,0.0,0.0,0
task01_state010,4,0.8797103788908976,0.5950263475542785,0.0,238.8427450656891,4,3.7569830845415524,0.4049736524457215,0.26573315420897275,0.7133051380928879,0.7133051380928879,0.875,0.8333333333333334,0.0,0.0,1
task01_state020,4,0.83433620074396,0.5478235299610962,0.0,236.66760396957397,4,2.774915906820924,0.4521764700389037,0.35944559325261644,0.7459154227813009,0.7459154227813009,0.8125,0.75,0.0,0.0,1
task01_state030,4,0.7025239374119657,0.2964975884627989,0.0,239.36695337295532,4,3.7704478563436647,0.7035024115372012,0.4263146838429255,0.4618458949900226,0.4618458949900226,0.625,0.5,0.0,0.0,1
task02_state010,4,0.8664789867906801,0.5328082340143486,0.0,236.17175889015198,4,3.3603930334958845,0.4671917659856513,0.36979042891346764,0.7257188863794228,0.7257188863794228,0.9375,0.9166666666666666,0.0,0.0,2
task02_state020,4,0.8504857027540741,0.5091409074110894,0.0,239.00135326385498,4,3.7136278323128256,0.4908590925889105,0.42041362528873033,0.7628223231426311,0.7628223231426311,0.9375,0.9166666666666666,0.0,0.0,2
task02_state030,4,0.9513560787082479,0.7019994207428129,0.0,236.11439061164856,4,2.4059359249704464,0.2980005792571872,0.27834082044281006,0.9025568116697115,0.9025568116697115,1.0,1.0,0.0,0.0,2
task03_state010,4,0.838420857881808,0.45622549698108167,0.0,238.92141580581665,4,3.372958291506215,0.5437745030189184,0.43216206549575714,0.6953301509251449,0.6953301509251449,0.875,0.8333333333333334,0.0,0.0,3
task03_state020,4,0.8439495838999528,0.5239894426879589,0.0,236.29868721961975,4,2.708515801005646,0.4760105573120412,0.36876823768113565,0.7111541722104132,0.7111541722104132,0.875,0.8333333333333334,0.0,0.0,3
task03_state030,4,0.6583664034840235,0.24738423683328584,0.0,239.44048857688904,4,4.355338696809273,0.7526157631667142,0.5387516736297008,0.4834063168680281,0.4834063168680281,0.625,0.5,0.0,0.0,3
task04_state010,4,0.6864993953383939,0.2732193070477889,0.0,235.78173565864563,4,4.930842288776617,0.7267806929522109,0.5497864261287032,0.5796737270625782,0.5796737270625782,0.6875,0.5833333333333334,0.0,0.0,4
task04_state020,4,0.8532234591309119,0.5810504841201344,0.0,238.5947391986847,4,2.160646532970427,0.41894951587986556,0.28171636937920325,0.7132352433162107,0.7132352433162107,0.8125,0.75,0.0,0.0,4
task04_state030,4,0.8034286467564739,0.42045538983127156,0.0,235.64195203781128,4,4.119674742668142,0.5795446101687284,0.4278178662492687,0.6178022741244181,0.6178022741244181,0.875,0.8333333333333334,0.0,0.0,4
task05_state010,4,0.8888052807908927,0.569479179953789,0.0,238.8810272216797,4,2.64081353068616,0.43052082004621095,0.35797242416892566,0.7626349131749227,0.7626349131749227,1.0,1.0,0.0,0.0,5
task05_state020,4,0.8089075967376882,0.5440849780026665,0.0,235.32701110839844,4,3.10134793874791,0.4559150219973335,0.3104785975371977,0.7412526621784356,0.7412526621784356,0.75,0.6666666666666666,0.0,0.0,5
task05_state030,4,0.7818432965265868,0.38185856392115464,0.0,235.0175359249115,4,5.588244776853287,0.6181414360788454,0.5046760676272647,0.7178543462755456,0.7178543462755456,0.75,0.6666666666666666,0.0,0.0,5
task06_state010,4,0.701760248510492,0.3111189422792193,0.0,236.13813591003418,4,3.8931224218993066,0.6888810577207808,0.5123218632967633,0.5537719019990698,0.5537719019990698,0.6875,0.5833333333333334,0.0,0.0,6
task06_state020,4,0.821367149869675,0.4479278252785159,0.0,235.54793691635132,4,2.9252296376141116,0.5520721747214842,0.4749815172902294,0.7402225328608575,0.7402225328608575,0.9375,0.9166666666666666,0.0,0.0,6
task06_state030,4,0.7982681043255898,0.4097472525636512,0.0,239.38954067230225,4,3.716709476607715,0.5902527474363488,0.4075415132127911,0.5996062957488912,0.5996062957488912,0.6875,0.5833333333333334,0.0,0.0,6
task07_state010,4,0.49768769801528195,0.125378641397756,0.0,235.43645882606506,4,5.006851783053628,0.8746213586022439,0.4761256125680564,0.2761547843740066,0.2761547843740066,0.25,0.0,0.0,0.0,7
task07_state020,4,0.8386529384239422,0.5393921861715528,0.0,239.6043348312378,4,2.4267859955325535,0.4606078138284471,0.3451672428120627,0.7091983042624408,0.7091983042624408,0.8125,0.75,0.0,0.0,7
task07_state030,4,0.8691024570405773,0.5853550292271472,0.0,234.81443405151367,4,1.8309454461421346,0.4146449707728528,0.3281767019698609,0.7869488850594034,0.7869488850594034,0.75,0.6666666666666666,0.0,0.0,7
