task_id,n_states,retrieval_accuracy_off_diagonal,retrieval_accuracy_all,projection,distance_reduction,cosine_alignment,orthogonal_residual,normalized_final_distance,gaussian_perturbation_normalized,donor_future_recipient_cache_projection,recipient_future_donor_cache_projection
0,3,0.7222222222222223,0.7916666666666666,0.5679232225338273,0.3809551086629999,0.7711771048535767,0.4275301170256849,0.6190448913370001,3.3115940261804746,0.0,0.5679232225338273
1,3,0.6944444444444445,0.7708333333333334,0.6403554852880704,0.47978248865939116,0.8055235056822744,0.3504978104348382,0.5202175113406088,3.4341156159020474,0.0,0.6403554852880704
2,3,0.9444444444444443,0.9583333333333334,0.7970326737305885,0.5813161873894169,0.8894402560843341,0.3561816248816694,0.41868381261058296,3.159985596926385,0.0,0.7970326737305885
3,3,0.7222222222222223,0.7916666666666666,0.629963546667862,0.4091997255007755,0.7802456150885947,0.44656065893553115,0.5908002744992246,3.478937596440378,0.0,0.629963546667862
4,3,0.7222222222222223,0.7916666666666666,0.6369037481677357,0.42490839366639827,0.7810505004085933,0.41977355391905835,0.5750916063336016,3.7370545214717286,0.0,0.6369037481677357
5,3,0.7777777777777777,0.8333333333333334,0.7405806405429679,0.49847424062587015,0.8265187246850559,0.39104236311112933,0.5015257593741299,3.7768020820957857,0.0,0.7405806405429679
6,3,0.6944444444444445,0.7708333333333334,0.6312002435362728,0.3895980067071288,0.7737985009019189,0.4649482979332613,0.6104019932928713,3.5116871787070445,0.0,0.6312002435362728
7,3,0.47222222222222215,0.6041666666666666,0.5907673245652836,0.41670861893215205,0.7351476978266005,0.38315651911666,0.583291381067848,3.088194408242772,0.0,0.5907673245652836
8,3,0.9444444444444445,0.9583333333333334,0.8388970685185039,0.6545385972855574,0.9247901590771298,0.28125049296688626,0.34546140271444264,2.522936139068259,0.0,0.8388970685185039
9,3,0.7777777777777778,0.8333333333333334,0.6807245188748664,0.49938317398410875,0.8480414090866869,0.36327134135189815,0.5006168260158912,3.8756968228581186,0.0,0.6807245188748664
