core_result_sha256,gaussian_perturbation_normalized,gaussian_recipient_preservation,input_fingerprint,max_trace_norm_relative_error,state_id,state_index,task_family
3bca0dbad3ca175c8aa48c2eba034e66cf9cd2c611050e6cb8091afbbcf3527f,4.006193586100412,0.25,46813f01ec1de93ffe4a4a4834a40a286e79de3fa35657b7411e228927795253,1.9370933407797187e-05,droid_episode_041320_frame_000077,0,put
889a279cfd78ffe84378e7df3696cfeb2eea5f4978c56704044cc5949872181d,1.469079504320577,0.5,2fea0efa056153ed9c62e72a18cd202484a4c1b36b72af5a9218279dca4c5de6,1.8441226142707162e-05,droid_episode_039259_frame_000062,1,put
19bebe7b069faad61614ff5b2d19b066ec15b850d2a8919fdbac1544ff762c64,3.0612096131495483,0.5,2d9c3736c389857a530a180cfa98bf7c5068a6bdcec9699b5bfe8894818b9f5c,1.6653502718658133e-05,droid_episode_006474_frame_000068,2,put
7b18cb756e5fe8da4bb8eb8d7c21e703f129833f9384f2cd545e2350df8ba248,0.8634625653377015,0.5,9a973d014f50e02879b6f9e1dbcecaf9505ea6374b56269086d74a5550b46424,1.811485734835862e-05,droid_episode_016591_frame_000130,3,pick
8c052f22c5fa22b80e32728575ccb0296d8f8bea509e62aea426c86c222b4474,1.3651494995196165,0.25,cb28871cf5a4a0b876e59b76f0d199a6ae96bf01c483dfb4e145a1c906bc3fe9,1.5051922522059457e-05,droid_episode_036175_frame_000107,4,pick
6d17b4543ee951706f2f5a8f37338bffe125fd3d8e9afd44c9e54fc833f52018,2.6060766907986617,0.25,50a78a9121a496feeb5ee6fad5f7f1665912a654ce21ea790f5661f3c7a371f3,1.2775902973687518e-05,droid_episode_011699_frame_000330,5,pick
b931b725b9a83493de2a4270e7bb728da9287b87f7a0420846d86491816e6970,0.8115582037821583,0.25,46894f71833f88c6946297eb2179e0bc585d7d67d631ab82668d1b0ced3cbdf8,2.2028686207479402e-05,droid_episode_034636_frame_000261,6,move
48f2b0e0e13d4fd60e2e2621cec3afb8a12d22aa130b23d60256caf1ce64866c,0.7400348963264208,0.5,6f8a7ff3cf8d2d2e5d88d7b6a527e95577c1a8bfa1f9481287197903d5d051da,1.6522433917796614e-05,droid_episode_012839_frame_000207,7,move
791c5053ac06397f32d2add881240dbb1b133fd039ad398fb77d801418ecd85f,2.093561624096471,0.25,bcd02383654ee479a88744016e0bf15e4bdd79fa223b14d4c5b95809f86ec22c,1.5524814984403567e-05,droid_episode_016483_frame_000077,8,move
6fa94e3df2e91c9f35908146afd3c53e1443eff70ab24ab3c8358d93e31fef35,2.183530414391286,0.25,a78752d558b399b03a5904d4ff5e5cf311156d3c7a3a7a0e42090ff2844b8feb,2.3645735772823214e-05,droid_episode_018290_frame_000160,9,remove
