kind,label,metric,n_suites,n_tasks,n_states_total,n_states_valid,n_states_missing,mean,ci95_low,ci95_high
condition,future_recipient_cache_recipient,correct_donor_retrieval_rate,4,40,120,120,0,0.0,0.0,0.0
condition,future_recipient_cache_recipient,donor_distance_reduction,4,40,120,120,0,0.0,0.0,0.0
condition,future_recipient_cache_recipient,donor_projection,4,40,120,120,0,0.0,0.0,0.0
condition,future_recipient_cache_recipient,cosine_alignment,4,40,120,120,0,0.0,0.0,0.0
condition,future_recipient_cache_recipient,orthogonal_residual,4,40,120,120,0,0.0,0.0,0.0
condition,future_recipient_cache_recipient,orthogonal_residual_ratio,4,40,120,120,0,0.0,0.0,0.0
condition,future_recipient_cache_recipient,distance_to_donor,4,40,120,120,0,0.7760186480445105,0.6237244659153439,0.9338031408213946
condition,future_donor_cache_recipient,correct_donor_retrieval_rate,4,40,120,120,0,0.0,0.0,0.0
condition,future_donor_cache_recipient,donor_distance_reduction,4,40,120,120,0,0.0,0.0,0.0
condition,future_donor_cache_recipient,donor_projection,4,40,120,120,0,0.0,0.0,0.0
condition,future_donor_cache_recipient,cosine_alignment,4,40,120,120,0,0.0,0.0,0.0
condition,future_donor_cache_recipient,orthogonal_residual,4,40,120,120,0,0.0,0.0,0.0
condition,future_donor_cache_recipient,orthogonal_residual_ratio,4,40,120,120,0,0.0,0.0,0.0
condition,future_donor_cache_recipient,distance_to_donor,4,40,120,120,0,0.7760186480445105,0.6288202552280366,0.9361584082776873
condition,future_recipient_cache_donor,correct_donor_retrieval_rate,4,40,120,120,0,0.9993055555555556,0.9965277777777778,1.0
condition,future_recipient_cache_donor,donor_distance_reduction,4,40,120,120,0,0.6828366681664071,0.6369153669022956,0.738121414820247
condition,future_recipient_cache_donor,donor_projection,4,40,120,120,0,0.8689926136403685,0.8329162615436029,0.9122272610419564
condition,future_recipient_cache_donor,cosine_alignment,4,40,120,120,0,0.9433195609601924,0.9268350734420441,0.9616987338285216
condition,future_recipient_cache_donor,orthogonal_residual,4,40,120,120,0,0.19426726283712895,0.16476419578771612,0.2244723156835698
condition,future_recipient_cache_donor,orthogonal_residual_ratio,4,40,120,120,0,0.28389882214253925,0.24389784209221607,0.3174599086361514
condition,future_recipient_cache_donor,distance_to_donor,4,40,120,120,0,0.2150085365447652,0.17889477608072732,0.25027240740099
condition,future_donor_cache_donor,correct_donor_retrieval_rate,4,40,120,120,0,0.9993055555555556,0.9965277777777778,1.0
condition,future_donor_cache_donor,donor_distance_reduction,4,40,120,120,0,0.6828366681664071,0.6377824386956847,0.7375284934532054
condition,future_donor_cache_donor,donor_projection,4,40,120,120,0,0.8689926136403685,0.8319038101934741,0.9108989977829617
condition,future_donor_cache_donor,cosine_alignment,4,40,120,120,0,0.9433195609601924,0.92691742983672,0.9619974728336956
condition,future_donor_cache_donor,orthogonal_residual,4,40,120,120,0,0.19426726283712895,0.16514119495897456,0.22361560334397967
condition,future_donor_cache_donor,orthogonal_residual_ratio,4,40,120,120,0,0.28389882214253925,0.2443287451425689,0.31731216869545026
condition,future_donor_cache_donor,distance_to_donor,4,40,120,120,0,0.2150085365447652,0.1801267953264169,0.2516709886639162
contrast,cache_main_effect,correct_donor_retrieval_rate,4,40,120,120,0,0.9993055555555556,0.9965277777777778,1.0
contrast,future_main_effect,correct_donor_retrieval_rate,4,40,120,120,0,0.0,0.0,0.0
contrast,future_by_cache_interaction,correct_donor_retrieval_rate,4,40,120,120,0,0.0,0.0,0.0
contrast,cache_main_effect,donor_distance_reduction,4,40,120,120,0,0.6828366681664071,0.636792524513081,0.7383576703335881
contrast,future_main_effect,donor_distance_reduction,4,40,120,120,0,0.0,0.0,0.0
contrast,future_by_cache_interaction,donor_distance_reduction,4,40,120,120,0,0.0,0.0,0.0
contrast,cache_main_effect,donor_projection,4,40,120,120,0,0.8689926136403685,0.8322872836789255,0.9134698250717364
contrast,future_main_effect,donor_projection,4,40,120,120,0,0.0,0.0,0.0
contrast,future_by_cache_interaction,donor_projection,4,40,120,120,0,0.0,0.0,0.0
contrast,cache_main_effect,cosine_alignment,4,40,120,120,0,0.9433195609601924,0.9272202826594156,0.962108784184301
contrast,future_main_effect,cosine_alignment,4,40,120,120,0,0.0,0.0,0.0
contrast,future_by_cache_interaction,cosine_alignment,4,40,120,120,0,0.0,0.0,0.0
contrast,cache_main_effect,orthogonal_residual,4,40,120,120,0,0.19426726283712895,0.16574684598316125,0.22433829388583246
contrast,future_main_effect,orthogonal_residual,4,40,120,120,0,0.0,0.0,0.0
contrast,future_by_cache_interaction,orthogonal_residual,4,40,120,120,0,0.0,0.0,0.0
contrast,cache_main_effect,orthogonal_residual_ratio,4,40,120,120,0,0.28389882214253925,0.24393248280378885,0.3178184357390181
contrast,future_main_effect,orthogonal_residual_ratio,4,40,120,120,0,0.0,0.0,0.0
contrast,future_by_cache_interaction,orthogonal_residual_ratio,4,40,120,120,0,0.0,0.0,0.0
contrast,cache_main_effect,distance_to_donor,4,40,120,120,0,-0.5610101114997453,-0.7006484753915438,-0.4300062998312688
contrast,future_main_effect,distance_to_donor,4,40,120,120,0,-2.6020852139652106e-18,-9.367506770274759e-18,3.585095183685402e-18
contrast,future_by_cache_interaction,distance_to_donor,4,40,120,120,0,0.0,0.0,0.0
