state_id,suite,task_id,initial_state_index,condition,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_spatial_task00_state004_wait30,libero_spatial,0,4,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165939385489698
libero_spatial_task00_state004_wait30,libero_spatial,0,4,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165939385489698
libero_spatial_task00_state004_wait30,libero_spatial,0,4,future_recipient_cache_donor,12,12,0,0,1.0,0.5701249273478443,0.8203952489361285,0.9053677988253653,0.27066179451098876,0.3790929628659569,0.30366786518153305
libero_spatial_task00_state004_wait30,libero_spatial,0,4,future_donor_cache_donor,12,12,0,0,1.0,0.5701249273478443,0.8203952489361285,0.9053677988253653,0.27066179451098876,0.3790929628659569,0.30366786518153305
libero_spatial_task00_state005_wait30,libero_spatial,0,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196531036374257
libero_spatial_task00_state005_wait30,libero_spatial,0,5,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196531036374257
libero_spatial_task00_state005_wait30,libero_spatial,0,5,future_recipient_cache_donor,12,12,0,0,1.0,0.48447416991134884,0.7302900532276019,0.8547245856064709,0.26704345588996364,0.43388636743725795,0.3170642644931155
libero_spatial_task00_state005_wait30,libero_spatial,0,5,future_donor_cache_donor,12,12,0,0,1.0,0.48447416991134884,0.7302900532276019,0.8547245856064709,0.26704345588996364,0.43388636743725795,0.3170642644931155
libero_spatial_task00_state006_wait30,libero_spatial,0,6,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866069220887425
libero_spatial_task00_state006_wait30,libero_spatial,0,6,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6866069220887425
libero_spatial_task00_state006_wait30,libero_spatial,0,6,future_recipient_cache_donor,12,12,0,0,1.0,0.5544347153969666,0.7693149631330901,0.8950341869068256,0.25796083845055406,0.3803663145487215,0.30275321295588115
libero_spatial_task00_state006_wait30,libero_spatial,0,6,future_donor_cache_donor,12,12,0,0,1.0,0.5544347153969666,0.7693149631330901,0.8950341869068256,0.25796083845055406,0.3803663145487215,0.30275321295588115
libero_spatial_task01_state004_wait30,libero_spatial,1,4,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.39696957938024796
libero_spatial_task01_state004_wait30,libero_spatial,1,4,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.39696957938024796
libero_spatial_task01_state004_wait30,libero_spatial,1,4,future_recipient_cache_donor,12,12,0,0,1.0,0.6306448100799927,0.8241034254605758,0.9308171730673961,0.1272186426431318,0.322747884095069,0.14591380521180275
libero_spatial_task01_state004_wait30,libero_spatial,1,4,future_donor_cache_donor,12,12,0,0,1.0,0.6306448100799927,0.8241034254605758,0.9308171730673961,0.1272186426431318,0.322747884095069,0.14591380521180275
libero_spatial_task01_state005_wait30,libero_spatial,1,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.547045351201766
libero_spatial_task01_state005_wait30,libero_spatial,1,5,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.547045351201766
libero_spatial_task01_state005_wait30,libero_spatial,1,5,future_recipient_cache_donor,12,12,0,0,1.0,0.6644612931624204,0.8266524068156973,0.9432976147015456,0.15391096897960063,0.2859670538718989,0.18053822310692091
libero_spatial_task01_state005_wait30,libero_spatial,1,5,future_donor_cache_donor,12,12,0,0,1.0,0.6644612931624204,0.8266524068156973,0.9432976147015456,0.15391096897960063,0.2859670538718989,0.18053822310692091
libero_spatial_task01_state006_wait30,libero_spatial,1,6,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4924542617013628
libero_spatial_task01_state006_wait30,libero_spatial,1,6,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4924542617013628
libero_spatial_task01_state006_wait30,libero_spatial,1,6,future_recipient_cache_donor,12,12,0,0,1.0,0.6158092574223394,0.7942689349106548,0.9252453767247925,0.15556865301691178,0.32295737312746725,0.18586287163177362
libero_spatial_task01_state006_wait30,libero_spatial,1,6,future_donor_cache_donor,12,12,0,0,1.0,0.6158092574223394,0.7942689349106548,0.9252453767247925,0.15556865301691178,0.32295737312746725,0.18586287163177362
libero_spatial_task02_state004_wait30,libero_spatial,2,4,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028312876475883
libero_spatial_task02_state004_wait30,libero_spatial,2,4,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028312876475883
libero_spatial_task02_state004_wait30,libero_spatial,2,4,future_recipient_cache_donor,12,12,0,0,1.0,0.5700164343396735,0.8140469556404092,0.8987757660223598,0.22859621335295946,0.3847042644209169,0.2540727063713549
libero_spatial_task02_state004_wait30,libero_spatial,2,4,future_donor_cache_donor,12,12,0,0,1.0,0.5700164343396735,0.8140469556404092,0.8987757660223598,0.22859621335295946,0.3847042644209169,0.2540727063713549
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898783627325827
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898783627325827
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_recipient_cache_donor,12,12,0,0,1.0,0.6458529923752443,0.8591444407954425,0.9335224220143021,0.21899403143393584,0.3229389433894206,0.23994968103826297
