suite,task_id,condition,n_tasks,n_states,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_10,,first_frame,10,30,360,360,0,0,0.2,-0.4848388603547392,0.3722003608644431,0.2770122394084037,0.6908182910021768,1.2837385698956176,0.8045338952144213
libero_10,,wrong_latent,10,30,360,360,0,0,0.0,-0.0217154196847488,0.43602124127455866,0.4604521491896736,0.4395117507911778,0.8141578167030865,0.55920551509866
libero_10,,shuffled_cache,10,30,360,360,0,0,0.24166666666666664,-20.57786893863088,0.43254837719059197,0.023279010741181067,11.186382330622182,21.545600541252504,11.203529829779471
libero_10,,donor_latent,10,30,360,360,0,0,1.0,0.6811261408156464,0.8712474304668515,0.9454431252307447,0.15582566589830596,0.28812198434852765,0.17180893151658122
libero_10,,donor_cache,10,30,360,360,0,0,1.0,0.6811261408156464,0.8712474304668515,0.9454431252307447,0.15582566589830596,0.28812198434852765,0.17180893151658122
libero_goal,,first_frame,10,30,360,360,0,0,0.18888888888888888,-0.655142275329185,0.3510906053351315,0.26227108440423075,0.9706692214201634,1.4483719583957646,1.1547379820786705
libero_goal,,wrong_latent,10,30,360,360,0,0,0.0027777777777777775,-0.10357859410258693,0.4188060922168271,0.4414180148855711,0.5832816315145807,0.8697851919339596,0.7961152258897227
libero_goal,,shuffled_cache,10,30,360,360,0,0,0.22777777777777777,-14.070394462809066,0.3774665503230026,0.03505291799602512,9.781083472165284,15.011192565727095,9.830185230770976
libero_goal,,donor_latent,10,30,360,360,0,0,0.9972222222222221,0.6430393917960532,0.8334263507037425,0.929016644108526,0.20722676392452724,0.31005857291709776,0.23662970413527368
libero_goal,,donor_cache,10,30,360,360,0,0,0.9972222222222221,0.6430393917960532,0.8334263507037425,0.929016644108526,0.20722676392452724,0.31005857291709776,0.23662970413527368
libero_object,,first_frame,10,30,360,360,0,0,0.21111111111111108,-0.18076918258573876,0.43337747964640805,0.3879580852500417,0.8034160111314487,0.989896392171949,0.9690703101961722
libero_object,,wrong_latent,10,30,360,360,0,0,0.0,-0.02279333809420935,0.4669940234827579,0.47457831785662175,0.6831485426482423,0.8405976952156088,0.8414901128041737
libero_object,,shuffled_cache,10,30,360,360,0,0,0.23888888888888887,-12.235957566876145,0.4485005999075352,0.03841394274022518,10.569077959110036,13.181645207388385,10.61322822922688
libero_object,,donor_latent,10,30,360,360,0,0,1.0,0.7635182014720003,0.932503687318933,0.9705802713722355,0.18142961229125693,0.22485303278393273,0.19047031543127377
libero_object,,donor_cache,10,30,360,360,0,0,1.0,0.7635182014720003,0.932503687318933,0.9705802713722355,0.18142961229125693,0.22485303278393273,0.19047031543127377
libero_spatial,,first_frame,10,30,360,360,0,0,0.17777777777777776,-0.41591049395336704,0.3568603580689582,0.28327306119107243,0.933834618261516,1.2036541666139888,1.1415106156518087
libero_spatial,,wrong_latent,10,30,360,360,0,0,0.0,-0.07287196249203584,0.4210691334828044,0.44869540702665434,0.6989121853503316,0.8541111585770501,0.9060634809773862
libero_spatial,,shuffled_cache,10,30,360,360,0,0,0.2361111111111111,-15.776606562258825,0.3877517344245282,0.03244458481320426,11.762727945862299,16.74181281832996,11.796777156834713
libero_spatial,,donor_latent,10,30,360,360,0,0,1.0,0.6436629385819279,0.8387929860719465,0.9282382031292636,0.2325870092344257,0.312561698520599,0.2611251950959321
libero_spatial,,donor_cache,10,30,360,360,0,0,1.0,0.6436629385819279,0.8387929860719465,0.9282382031292636,0.2325870092344257,0.312561698520599,0.2611251950959321
