branches,candidate_rank,common_recipients,eligible,initial_state_index,joint_pairs,maximum_action_l2,maximum_object_goal_l2,maximum_robot_gripper_l2,maximum_robot_orientation_angle_rad,maximum_robot_position_l2_m,median_action_l2,median_object_goal_l2,median_robot_gripper_l2,median_robot_orientation_angle_rad,median_robot_position_l2_m,object_pairs,prefix_chunks,robot_pairs,task_id,unit_id
64,1,0,False,17,0,0.05967518027840402,0.002074584050318293,4.709711422089786e-06,0.004488965858705074,0.002073609688077667,0.037141380348703096,0.0005596029873902375,8.897954803288714e-07,0.0016148286329574742,0.0005559607885030128,0,14,0,0,task00_state17
64,2,0,False,17,0,0.04859895394454927,0.0013974730507869152,1.6721425326671447e-06,0.0032623083897841423,0.001383231812073338,0.028625880583945336,0.00032890768405583035,3.427043722653531e-07,0.0009417987538734716,0.0003277838821290563,0,6,0,0,task00_state17
64,3,0,False,17,16,0.09348163345504608,0.0037329440542375044,7.37454772731604e-06,0.0058149371391795854,0.0037201211838641768,0.04938566852141128,0.0010944976150773136,1.5324860178462905e-06,0.0017428309811259141,0.0010926048540928065,0,5,0,0,task00_state17
64,1,0,False,35,0,0.07362982098385346,0.0014421787673553864,3.09702389314256e-06,0.003619262299344696,0.0014237855995109401,0.0401264152179672,0.0004830109186009517,6.470723039913593e-07,0.0014854681421200325,0.0004823670774230087,0,13,0,0,task00_state35
64,2,0,False,35,49,0.14526878513362484,0.0049013000563142275,6.477669816170136e-06,0.00528561935224345,0.0048628402017108045,0.05215747911634838,0.001207789182084275,1.2186429708887505e-06,0.001835381870715234,0.001197382155775804,1,4,0,0,task00_state35
64,3,0,False,35,29,0.11610249304221167,0.004244552253433842,2.2423607614279153e-06,0.004344692518827326,0.004181647273572846,0.038081527819296565,0.0009083879125868196,5.141561193969185e-07,0.0013366412444810911,0.0008964462604074954,2,6,0,0,task00_state35
64,1,0,False,17,0,0.05780153335997597,0.0014759864285697857,1.3300886038996003e-06,0.00415144336130426,0.0014740366864503178,0.0363101560075931,0.00045255561231993206,3.010902686637162e-07,0.0010324026141942096,0.0004512531427458534,0,11,0,1,task01_state17
32,2,2,True,17,6,2.025395048788145,0.0037824622299964467,0.00013095326740459673,0.006261681431364108,0.005118332066822749,0.30318955518902935,0.00044448118649217136,2.8001487062062194e-06,0.0019007483760491606,0.0013804140417600771,8,13,1,1,task01_state17
64,1,0,False,35,0,0.048173000940649635,0.001145955368457869,2.7236393003930986e-06,0.0027517645291909114,0.0011380997869718005,0.032990745469024405,0.00042232423611510974,6.135455870961171e-07,0.0010012732311778195,0.0004218219680903276,0,5,0,1,task01_state35
64,2,0,False,35,0,0.054058387734193934,0.0009259258431555064,1.8018804503021672e-06,0.00323334939654307,0.0009239392312187457,0.03239854302949692,0.00034152635462771287,3.9075060977525475e-07,0.001086689653003038,0.00034046688473655733,0,6,0,1,task01_state35
