alignment_matrix_row,correct_donor_top1,correct_donor_top1_minus_chance,diagonal_alignment_margin,future_noise_seed,initial_state_index,mean_other_alignment,own_alignment,prefix_chunks,target,task_id,unit_id
"{""natural"": -0.0033698220114969785, ""object"": -0.003313550673839617, ""robot"": 0.19088786143177663}",0.0,-0.3333333333333333,-0.09707257038397946,1201,17,0.09375901971013983,-0.003313550673839617,13,object,1,task01_state17
"{""natural"": -0.00393125053659252, ""object"": -0.003933346375337479, ""robot"": 0.3355193519415576}",1.0,0.6666666666666667,0.33945165039752256,1201,17,-0.003932298455964999,0.3355193519415576,13,robot,1,task01_state17
"{""natural"": -0.003868994094281621, ""object"": -0.0038489283585198242, ""robot"": 0.31338777577904553}",0.0,-0.3333333333333333,-0.1586384178045445,1201,17,0.15476942371026287,-0.003868994094281621,13,natural,1,task01_state17
"{""natural"": -0.004240565121188849, ""object"": -0.004358157786429124, ""robot"": 0.41660443616885184}",0.0,-0.3333333333333333,-0.2105400933102606,1213,17,0.2061819355238315,-0.004358157786429124,13,object,1,task01_state17
"{""natural"": -0.0044434799062586195, ""object"": -0.004580471743728153, ""robot"": 0.5716164985436333}",1.0,0.6666666666666667,0.5761284743686267,1213,17,-0.004511975824993386,0.5716164985436333,13,robot,1,task01_state17
"{""natural"": -0.004446792189817706, ""object"": -0.004572633610212125, ""robot"": 0.5174912051231904}",0.0,-0.3333333333333333,-0.2609060779463068,1213,17,0.25645928575648913,-0.004446792189817706,13,natural,1,task01_state17
"{""natural"": -0.004598019512408616, ""object"": -0.004507241166458996, ""robot"": 0.3805995024050487}",0.0,-0.3333333333333333,-0.19250798261277904,1217,17,0.18800074144632004,-0.004507241166458996,13,object,1,task01_state17
"{""natural"": -0.004587294369350117, ""object"": -0.004536603046721779, ""robot"": 0.504663048233327}",1.0,0.6666666666666667,0.5092249969413629,1217,17,-0.004561948708035948,0.504663048233327,13,robot,1,task01_state17
"{""natural"": -0.00438126188422553, ""object"": -0.004363994935886053, ""robot"": 0.4784946245546705}",0.0,-0.3333333333333333,-0.24144657669361774,1217,17,0.23706531480939222,-0.00438126188422553,13,natural,1,task01_state17
"{""joint"": -0.23867723082570233, ""natural"": 0.07385612826431359, ""object"": -0.3786932547297445, ""robot"": -0.24531976870293024}",0.0,-0.25,-0.24197963097497152,1201,17,-0.136713623754773,-0.3786932547297445,7,object,2,task02_state17
